VTable: 7103241970 | Entries: 145 | ScreenName: ScreenEncyclopediaMenu
VTable: 7103241ee8 | Entries: 149 | ScreenName: ScreenFadeWipe
VTable: 7103242490 | Entries: 149 | ScreenName: ScreenFadeWipeBehind
VTable: 7103242a38 | Entries: 149 | ScreenName: ScreenFadeWipeInDemo
VTable: 7103243168 | Entries: 145 | ScreenName: ScreenFirstBootSetting
VTable: 7103243790 | Entries: 145 | ScreenName: ScreenFirstTutorial
VTable: 7103243e68 | Entries: 145 | ScreenName: ScreenFountainDonationDialog
VTable: 71032443e0 | Entries: 145 | ScreenName: ScreenFountainDonationHand
VTable: 7103244958 | Entries: 145 | ScreenName: ScreenFountainWishBg
VTable: 7103244f40 | Entries: 145 | ScreenName: ScreenFountainWishDialog
VTable: 71032454b8 | Entries: 145 | ScreenName: ScreenFountainWishLiberation
VTable: 7103245a30 | Entries: 145 | ScreenName: ScreenFountainWishList
VTable: 7103246088 | Entries: 145 | ScreenName: ScreenFountainWishMenu
VTable: 7103246600 | Entries: 145 | ScreenName: ScreenGiveMoney
VTable: 7103246b78 | Entries: 145 | ScreenName: ScreenGrowthPhoto
VTable: 7103247108 | Entries: 145 | ScreenName: ScreenGrowthPhotoForCapture
VTable: 7103247680 | Entries: 145 | ScreenName: ScreenHouseList
VTable: 7103247cc0 | Entries: 145 | ScreenName: ScreenHouseMenu
VTable: 7103248320 | Entries: 145 | ScreenName: ScreenHouseRenovation
VTable: 7103248998 | Entries: 145 | ScreenName: ScreenInlineKeyboard
VTable: 71032490b8 | Entries: 145 | ScreenName: ScreenIntroductionDialog
VTable: 7103249660 | Entries: 145 | ScreenName: ScreenIntroductionTelop
VTable: 7103249be0 | Entries: 145 | ScreenName: ScreenIntroductionTelopFront
VTable: 710324a158 | Entries: 145 | ScreenName: ScreenIsland
VTable: 710324a6d0 | Entries: 145 | ScreenName: ScreenIslandAttentionBtn
VTable: 710324ac58 | Entries: 145 | ScreenName: ScreenIslandEntranceInfo
VTable: 710324b208 | Entries: 145 | ScreenName: ScreenIslandInfo
VTable: 710324b838 | Entries: 145 | ScreenName: ScreenIslandInfoDetail
VTable: 710324be28 | Entries: 145 | ScreenName: ScreenIslandLevelUp
VTable: 710324c440 | Entries: 148 | ScreenName: ScreenIslandMenu
VTable: 710324c9d0 | Entries: 200 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710324d270 | Entries: 250 | ScreenName: ScreenItemListPawnShop
VTable: 710324db78 | Entries: 218 | ScreenName: ScreenItemListPlayer
VTable: 710324e398 | Entries: 249 | ScreenName: ScreenItemListShopBuilding
VTable: 710324ec50 | Entries: 252 | ScreenName: ScreenItemListShopCloth
VTable: 710324f660 | Entries: 249 | ScreenName: ScreenItemListShopFood
VTable: 710324ff18 | Entries: 249 | ScreenName: ScreenItemListShopGoods
VTable: 71032507d0 | Entries: 252 | ScreenName: ScreenItemListShopInterior
VTable: 7103251178 | Entries: 145 | ScreenName: ScreenItemListTop
VTable: 7103251728 | Entries: 145 | ScreenName: ScreenItemNew
VTable: 7103251ca0 | Entries: 254 | ScreenName: ScreenLevelUpClothesPresent
VTable: 7103252640 | Entries: 145 | ScreenName: ScreenLevelUpPresent
VTable: 7103252de8 | Entries: 145 | ScreenName: ScreenLevelUpPresentBg
VTable: 71032533b8 | Entries: 145 | ScreenName: ScreenLiveTogetherList
VTable: 71032539f8 | Entries: 145 | ScreenName: ScreenMakeClothes
VTable: 7103254010 | Entries: 145 | ScreenName: ScreenMarket
VTable: 7103254720 | Entries: 145 | ScreenName: ScreenMiiBrain
VTable: 7103254cc8 | Entries: 145 | ScreenName: ScreenMiiBrainForDemoBG
VTable: 7103255290 | Entries: 145 | ScreenName: ScreenMiiCharacter
VTable: 7103255820 | Entries: 145 | ScreenName: ScreenMiiCharDetail
VTable: 7103255e68 | Entries: 145 | ScreenName: ScreenMiiCharDistribution
VTable: 7103256400 | Entries: 145 | ScreenName: ScreenMiiEventTelop
VTable: 7103256978 | Entries: 145 | ScreenName: ScreenMiiFavoriteFoodList
VTable: 7103256f40 | Entries: 145 | ScreenName: ScreenMiiFocusChoice
VTable: 71032574c8 | Entries: 145 | ScreenName: ScreenMiiGoodsSlotList
VTable: 7103257ab8 | Entries: 145 | ScreenName: ScreenMiiList
VTable: 7103258120 | Entries: 149 | ScreenName: ScreenMiiNewsBase
VTable: 71032586b8 | Entries: 163 | ScreenName: ScreenMiiNewsBreakingComplete
VTable: 7103258d70 | Entries: 158 | ScreenName: ScreenMiiNewsBreakingContent
VTable: 7103259400 | Entries: 163 | ScreenName: ScreenMiiNewsBreakingIslandDevelopment
VTable: 7103259b08 | Entries: 163 | ScreenName: ScreenMiiNewsBreakingUgcMade
VTable: 710325a238 | Entries: 149 | ScreenName: ScreenMiiNewsCaster
VTable: 710325a9f8 | Entries: 163 | ScreenName: ScreenMiiNewsContent
VTable: 710325b0c0 | Entries: 150 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710325b728 | Entries: 145 | ScreenName: ScreenMiiNewsFade
VTable: 710325bdb0 | Entries: 150 | ScreenName: ScreenMiiNewsInterview
VTable: 710325c490 | Entries: 145 | ScreenName: ScreenMiiNewsListFade
VTable: 710325c9d8 | Entries: 146 | ScreenName: ScreenMiiStomach
VTable: 710325cfc8 | Entries: 146 | ScreenName: ScreenMiiStomachForDemoBG
VTable: 710325d660 | Entries: 145 | ScreenName: ScreenMiiTouch
VTable: 710325dc38 | Entries: 148 | ScreenName: ScreenMiiTouchMenu
VTable: 710325e1c8 | Entries: 145 | ScreenName: ScreenMiiTouchProfileCard
VTable: 710325e860 | Entries: 145 | ScreenName: ScreenMiiTouchSpray
VTable: 710325edf0 | Entries: 145 | ScreenName: ScreenMiniGameBowling
VTable: 710325f368 | Entries: 145 | ScreenName: ScreenMiniGameCafeLatte
VTable: 710325f910 | Entries: 145 | ScreenName: ScreenMiniGameDaruma
VTable: 710325ff08 | Entries: 157 | ScreenName: ScreenMiniGameFader
VTable: 71032605a8 | Entries: 145 | ScreenName: ScreenMiniGameFall
VTable: 7103260b20 | Entries: 145 | ScreenName: ScreenMiniGameFindDifferences
VTable: 7103261108 | Entries: 145 | ScreenName: ScreenMiniGamePictQuiz
VTable: 71032616e8 | Entries: 145 | ScreenName: ScreenMiniGamePrizeBox
VTable: 7103261c60 | Entries: 145 | ScreenName: ScreenMiniGameSwapCup
VTable: 71032621d8 | Entries: 145 | ScreenName: ScreenMoneyBottom
VTable: 7103262750 | Entries: 145 | ScreenName: ScreenOptionEntrance
VTable: 7103262cf0 | Entries: 145 | ScreenName: ScreenOptionSetting
VTable: 71032632e8 | Entries: 145 | ScreenName: ScreenPetitPersonalityEdit
VTable: 7103263bf8 | Entries: 145 | ScreenName: ScreenPhotoStudio
VTable: 71032645e8 | Entries: 146 | ScreenName: ScreenPhotoStudioContent
VTable: 7103264b90 | Entries: 145 | ScreenName: ScreenPhotoStudioMiiList
VTable: 7103265218 | Entries: 145 | ScreenName: ScreenPhraseEditNew
VTable: 7103265b08 | Entries: 145 | ScreenName: ScreenPlayerBirthdayED
VTable: 71032660d0 | Entries: 145 | ScreenName: ScreenPlayerSetting
VTable: 7103266680 | Entries: 145 | ScreenName: ScreenPlayerSkinEdit
VTable: 7103266bf8 | Entries: 145 | ScreenName: ScreenPointing
VTable: 7103267170 | Entries: 145 | ScreenName: ScreenPresetTextEntry
VTable: 7103267778 | Entries: 145 | ScreenName: ScreenProposalShooter
VTable: 7103267db8 | Entries: 145 | ScreenName: ScreenRelationDiagram
VTable: 7103268330 | Entries: 145 | ScreenName: ScreenRelationGraphFocusSingle
VTable: 7103268980 | Entries: 145 | ScreenName: ScreenRelationGraphMulti
VTable: 7103269068 | Entries: 145 | ScreenName: ScreenRelationNameEdit
VTable: 7103269860 | Entries: 145 | ScreenName: ScreenRelationshipsRanking
VTable: 7103269f28 | Entries: 145 | ScreenName: ScreenResidentList
VTable: 710326a558 | Entries: 145 | ScreenName: ScreenRocketSwitch
VTable: 710326ab00 | Entries: 145 | ScreenName: ScreenRoomSelect
VTable: 710326b088 | Entries: 146 | ScreenName: ScreenSceneFader
VTable: 710326b6b8 | Entries: 145 | ScreenName: ScreenSettingDialog
VTable: 710326bc98 | Entries: 145 | ScreenName: ScreenShopCartNum
VTable: 710326c210 | Entries: 145 | ScreenName: ScreenShopConfirm
VTable: 710326c7b0 | Entries: 145 | ScreenName: ScreenShopFade
VTable: 710326cd60 | Entries: 147 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710326d2c0 | Entries: 200 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710326dc68 | Entries: 200 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710326e6e0 | Entries: 145 | ScreenName: ScreenStaffRoll
VTable: 710326f468 | Entries: 145 | ScreenName: ScreenTalkChoice
VTable: 710326f9b0 | Entries: 145 | ScreenName: ScreenTalkChoiceFocus
VTable: 710326ffb0 | Entries: 145 | ScreenName: ScreenTalkGauge
VTable: 7103270528 | Entries: 145 | ScreenName: ScreenTelopBottom
VTable: 7103270af8 | Entries: 145 | ScreenName: ScreenTitle
VTable: 71032711a0 | Entries: 145 | ScreenName: ScreenTravelCameraFrame
VTable: 71032717e8 | Entries: 145 | ScreenName: ScreenTravelMiiSelect
VTable: 7103271de8 | Entries: 145 | ScreenName: ScreenTravelPhotoResult
VTable: 71032723b0 | Entries: 147 | ScreenName: ScreenTravelStart
VTable: 71032729c8 | Entries: 145 | ScreenName: ScreenTutorialHighlight
VTable: 7103272f88 | Entries: 145 | ScreenName: ScreenUgcTextList
VTable: 7103273788 | Entries: 145 | ScreenName: ScreenWordEditTop
VTable: 71032742c8 | Entries: 145 | ScreenName: Viewer
VTable: 71032742c8 | Entries: 145 | ScreenName: MiniGame_Change
